Role,Endpoint,Method,Status Code,Description,Request Body,Response Format,Test Data Available,Notes,Required Headers,Query Parameters,Path Parameters
MOSPI_REVIEWER,/dashboard/summary,GET,200,Dashboard summary,None,"{status: true, data: {pendingSubmissions, approvedSubmissions, etc}, message, timestamp}",MoSPI-level metrics,Returns MoSPI-level dashboard,"Authorization: Bearer {token}",None,None
MOSPI_REVIEWER,/dashboard/kpis,GET,200,Key Performance Indicators,None,"{status: true, data: {mySubmissions, pendingReview, etc}, message, timestamp}",MoSPI KPIs,Returns MoSPI-level KPIs,"Authorization: Bearer {token}",None,None
MOSPI_APPROVER,/submission,GET,200,List submissions,None,"{status: true, data: {submissions, total}, message, timestamp}",All submissions visible,Returns all submissions,"Authorization: Bearer {token}",page=1&limit=20&status?,None
MOSPI_APPROVER,/submission/:id,GET,200,Get specific submission,None,"{status: true, data: submission, message, timestamp}",Full submission details,Returns submission with details,"Authorization: Bearer {token}",None,id (UUID)
MOSPI_APPROVER,/submission/approve/:id,POST,200,Final approval,"{comment?}","{status: true, data: submission, message, timestamp}",APPROVED status + scoring,Final approval with scoring,"Authorization: Bearer {token}, Content-Type: application/json",None,id (UUID)
MOSPI_APPROVER,/submission/final-reject/:id,POST,200,Final rejection,"{comment, reason}","{status: true, data: submission, message, timestamp}",REJECTED_FINAL status,Final rejection,"Authorization: Bearer {token}, Content-Type: application/json",None,id (UUID)
MOSPI_APPROVER,/submission/:id/comment,POST,201,Add review comment,"{comment, role}","{status: true, data: submission, message, timestamp}",Final-level comments,Adds MoSPI approver comment,"Authorization: Bearer {token}, Content-Type: application/json",None,id (UUID)
MOSPI_APPROVER,/users,GET,200,List users,None,"{status: true, data: users, message, timestamp}",All users visible,Returns all users,"Authorization: Bearer {token}",page=1&limit=20,None
MOSPI_APPROVER,/users/:id,GET,200,Get specific user,None,"{status: true, data: user, message, timestamp}",User details available,Returns user details,"Authorization: Bearer {token}",None,id (UUID)
MOSPI_APPROVER,/users/:id,PATCH,200,Update user,"{firstName?, lastName?, isActive?}","{status: true, data: user, message, timestamp}",User management,Updates user info,"Authorization: Bearer {token}, Content-Type: application/json",None,id (UUID)
MOSPI_APPROVER,/users/:id,DELETE,200,Delete user,None,"{status: true, data: null, message, timestamp}",User deletion,Soft deletes user,"Authorization: Bearer {token}",None,id (UUID)
MOSPI_APPROVER,/audit,GET,200,Audit logs,None,"{status: true, data: {logs, total}, message, timestamp}",All audit entries,Returns audit logs,"Authorization: Bearer {token}",page=1&limit=20,None
MOSPI_APPROVER,/audit/entity/:entityType/:entityId,GET,200,Entity audit logs,None,"{status: true, data: logs, message, timestamp}",Entity-specific logs,Returns entity audit logs,"Authorization: Bearer {token}",None,entityType (string), entityId (UUID)
MOSPI_APPROVER,/audit/user/:userId,GET,200,User audit logs,None,"{status: true, data: logs, message, timestamp}",User-specific logs,Returns user audit logs,"Authorization: Bearer {token}",None,userId (UUID)
MOSPI_APPROVER,/audit/stats,GET,200,Audit statistics,None,"{status: true, data: {totalLogs, etc}, message, timestamp}",Audit metrics,Returns audit statistics,"Authorization: Bearer {token}",None,None
MOSPI_APPROVER,/audit/my-activity,GET,200,My activity logs,None,"{status: true, data: logs, message, timestamp}",Personal audit trail,Returns user's activity,"Authorization: Bearer {token}",None,None
MOSPI_APPROVER,/report/ranking,GET,200,State ranking report,None,"{status: true, data: rankings, message, timestamp}",Ranking data,Returns state rankings,"Authorization: Bearer {token}",year?&stateUt?,None
MOSPI_APPROVER,/report/full-report,GET,200,Full report,None,"{status: true, data: {rankings, statistics, stateComparison}, message, timestamp}",Comprehensive report,Returns full report,"Authorization: Bearer {token}",year?&format?,None
MOSPI_APPROVER,/report/state/:stateUt,GET,200,State-specific report,None,"{status: true, data: {stateData, submissions, scores}, message, timestamp}",State-wise reports,Returns state-specific report,"Authorization: Bearer {token}",None,stateUt (string)
MOSPI_APPROVER,/report/export,GET,200,Export report,None,File download,Report export,Exports report in specified format,"Authorization: Bearer {token}",format=xlsx&year?,None
MOSPI_APPROVER,/report/submission-status,GET,200,Submission status report,None,"{status: true, data: {statusCounts}, message, timestamp}",Status-wise reports,Returns submission status counts,"Authorization: Bearer {token}",None,None
MOSPI_APPROVER,/file/storage-info,GET,200,File storage info,None,"{status: true, data: {storageType, message}, message, timestamp}",Storage configuration,Returns storage configuration,"Authorization: Bearer {token}",None,None
MOSPI_APPROVER,/file/upload/:submissionId,POST,201,Upload file,FormData with file,"{status: true, data: {fileName, fileUrl, fileSize}, message, timestamp}",File upload working,Uploads file for submission,"Authorization: Bearer {token}",None,submissionId (UUID)
MOSPI_APPROVER,/file/upload-multiple/:submissionId,POST,201,Upload multiple files,FormData with files,"{status: true, data: [{fileName, fileUrl, fileSize}], message, timestamp}",Multiple file upload,Uploads multiple files,"Authorization: Bearer {token}",None,submissionId (UUID)
MOSPI_APPROVER,/file/:filePath,DELETE,200,Delete file,None,"{status: true, data: {success: boolean}, message, timestamp}",File deletion,Deletes file from storage,"Authorization: Bearer {token}",None,filePath (string)
MOSPI_APPROVER,/file/url/:filePath,GET,200,Get file URL,None,"{status: true, data: {fileUrl}, message, timestamp}",File URL generation,Returns file access URL,"Authorization: Bearer {token}",None,filePath (string)
MOSPI_APPROVER,/auth/profile,GET,200,Get user profile,None,"{status: true, data: user, message, timestamp}",Profile data available,Returns current user's profile,"Authorization: Bearer {token}",None,None
MOSPI_APPROVER,/auth/change-password,PUT,200,Change password,"{currentPassword, newPassword}","{status: true, data: null, message, timestamp}",Password update working,Updates user password,"Authorization: Bearer {token}, Content-Type: application/json",None,None
MOSPI_APPROVER,/dashboard/summary,GET,200,Dashboard summary,None,"{status: true, data: {pendingSubmissions, approvedSubmissions, etc}, message, timestamp}",MoSPI-level metrics,Returns MoSPI-level dashboard,"Authorization: Bearer {token}",None,None
MOSPI_APPROVER,/dashboard/kpis,GET,200,Key Performance Indicators,None,"{status: true, data: {mySubmissions, pendingReview, etc}, message, timestamp}",MoSPI KPIs,Returns MoSPI-level KPIs,"Authorization: Bearer {token}",None,None
